data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"29/10/2025";"08:48:14";"72";"Sem vítima";"70,000";"BR-452/GO";"Crescente";"Acidentes de outra natureza";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"30/10/2025";"11:49:54";"59";"Sem vítima";"254,000";"BR-060/GO";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"31/10/2025";"14:59:14";"86";"Sem vítima";"282,000";"BR-060/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"01/11/2025";"14:53:06";"55";"Com vítima";"39,300";"BR-452/GO";"Decrescente";"Colisão lateral em sentido contrário";2;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"01/11/2025";"15:21:28";"61";"Com vítima";"338,500";"BR-060/GO";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"01/11/2025";"19:02:59";"73";"Com vítima";"198,000";"BR-060/GO";"Decrescente";"Atropelamento de animal";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"02/11/2025";"07:31:52";"18";"Sem vítima";"384,500";"BR-060/GO";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/11/2025";"14:34:33";"60";"Sem vítima";"81,500";"BR-452/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/11/2025";"15:01:37";"64";"Sem vítima";"7,000";"BR-452/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/11/2025";"01:55:36";"5";"Sem vítima";"171,900";"BR-060/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"03/11/2025";"02:00:06";"6";"Sem vítima";"363,000";"BR-060/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/11/2025";"12:16:53";"49";"Sem vítima";"340,000";"BR-060/GO";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"03/11/2025";"13:37:32";"57";"Com vítima";"389,000";"BR-060/GO";"Crescente";"Colisão transversal";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"03/11/2025";"21:44:18";"78";"Sem vítima";"51,000";"BR-452/GO";"Decrescente";"Atropelamento de animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"04/11/2025";"07:06:10";"16";"Com vítima";"170,000";"BR-452/GO";"Crescente";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;1;0;1;0;0
"05/11/2025";"09:22:32";"36";"Sem vítima";"391,000";"BR-060/GO";"Crescente";"Saída de pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"05/11/2025";"11:24:38";"55";"Com vítima";"25,500";"BR-452/GO";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;0;0;2;1;0
"05/11/2025";"14:36:50";"71";"Sem vítima";"381,700";"BR-060/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/11/2025";"14:56:53";"75";"Sem vítima";"233,600";"BR-060/GO";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"05/11/2025";"16:26:24";"86";"Sem vítima";"40,000";"BR-452/GO";"Decrescente";"Choque";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"05/11/2025";"17:51:50";"100";"Sem vítima";"391,000";"BR-060/GO";"Crescente";"Saída de pista";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"06/11/2025";"01:37:41";"5";"Com vítima";"374,000";"BR-060/GO";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"06/11/2025";"14:35:15";"58";"Com vítima";"369,000";"BR-060/GO";"Decrescente";"Queda de moto";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"06/11/2025";"16:56:46";"70";"Sem vítima";"388,000";"BR-060/GO";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/11/2025";"04:53:09";"10";"Sem vítima";"92,000";"BR-452/GO";"Decrescente";"Atropelamento de animal";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/11/2025";"08:18:21";"28";"Com vítima";"193,500";"BR-060/GO";"Crescente";"Queda de bicicleta";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"14:25:52";"63";"Sem vítima";"185,000";"BR-060/GO";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/11/2025";"16:21:09";"77";"Sem vítima";"296,900";"BR-060/GO";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/11/2025";"02:54:13";"7";"Com vítima";"146,000";"BR-452/GO";"Decrescente";"Saída de pista";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"10/11/2025";"20:03:45";"74";"Com vítima";"277,950";"BR-060/GO";"Decrescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;1;0;1;0;0
"12/11/2025";"07:32:27";"18";"Sem vítima";"174,500";"BR-452/GO";"Crescente";"Colisão lateral em sentido contrário";0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
"12/11/2025";"16:12:13";"78";"Com vítima";"141,000";"BR-452/GO";"Crescente";"Colisão traseira";1;0;2;0;0;0;0;0;0;0;2;1;1;0;0
"13/11/2025";"03:08:45";"6";"Com vítima";"273,000";"BR-060/GO";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;2;0;1;0;0
"13/11/2025";"13:01:27";"46";"Sem vítima";"386,000";"BR-060/GO";"Crescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"13/11/2025";"23:30:58";"87";"Com vítima";"40,000";"BR-452/GO";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"14/11/2025";"21:28:49";"80";"Sem vítima";"133,890";"BR-452/GO";"Decrescente";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"15/11/2025";"00:18:27";"2";"Com vítima";"18,000";"BR-452/GO";"Crescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;1;0;1;0;0
"15/11/2025";"15:54:20";"38";"Com vítima";"296,220";"BR-060/GO";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"16/11/2025";"02:11:47";"6";"Sem vítima";"177,050";"BR-060/GO";"Crescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"16/11/2025";"02:46:40";"7";"Sem vítima";"178,800";"BR-452/GO";"Decrescente";"Saída de pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"16/11/2025";"17:19:15";"47";"Sem vítima";"190,000";"BR-060/GO";"Decrescente";"Capotamento";2;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"16/11/2025";"18:54:14";"53";"Com vítima";"190,000";"BR-060/GO";"Decrescente";"Choque";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"17/11/2025";"07:23:18";"27";"Com vítima";"385,400";"BR-060/GO";"Decrescente";"Colisão traseira";0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
