data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"04/11/2025";"05:48:36";"23";"Com vítima";"85,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"04/11/2025";"12:32:49";"73";"Sem vítima";"825,100";"BR-040/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"12:42:12";"74";"Sem vítima";"824,000";"BR-040/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"12:58:33";"75";"Sem vítima";"801,000";"BR-040/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"13:38:01";"78";"Sem vítima";"799,100";"BR-040/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"14:12:10";"80";"Sem vítima";"93,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"15:10:17";"83";"Sem vítima";"825,000";"BR-040/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"16:00:54";"94";"Sem vítima";"87,000";"BR-040/RJ";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"16:31:21";"98";"Sem vítima";"778,000";"BR-040/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"04/11/2025";"23:02:34";"136";"Com vítima";"105,000";"BR-040/RJ";"Decrescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"05/11/2025";"06:22:09";"166";"Sem vítima";"91,100";"BR-040/RJ";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"05/11/2025";"08:27:58";"179";"Sem vítima";"87,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"05/11/2025";"17:00:58";"244";"Com vítima";"123,000";"BR-040/RJ";"Crescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"05/11/2025";"18:21:45";"259";"Com vítima";"70,000";"BR-040/RJ";"Crescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"05/11/2025";"18:30:32";"260";"Com vítima";"117,000";"BR-040/RJ";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;0;3;0;1;0
"05/11/2025";"20:28:47";"269";"Sem vítima";"91,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"00:16:03";"289";"Sem vítima";"114,000";"BR-040/RJ";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"02:08:39";"296";"Com vítima";"815,000";"BR-040/MG";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"06/11/2025";"02:40:12";"297";"Sem vítima";"113,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"07:31:52";"317";"Sem vítima";"93,100";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"09:24:24";"333";"Sem vítima";"77,100";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"10:06:21";"338";"Sem vítima";"97,100";"BR-040/RJ";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"14:14:53";"368";"Sem vítima";"89,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"14:45:46";"371";"Sem vítima";"87,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"14:55:59";"370";"Com vítima";"85,000";"BR-040/RJ";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"06/11/2025";"15:22:32";"372";"Sem vítima";"120,000";"BR-040/RJ";"Decrescente";"Colisão lateral no mesmo sentido";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"15:50:55";"377";"Sem vítima";"105,000";"BR-040/RJ";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"06/11/2025";"16:26:42";"380";"Com vítima";"78,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"07/11/2025";"05:45:12";"421";"Com vítima";"94,000";"BR-040/RJ";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"07/11/2025";"14:10:52";"491";"Sem vítima";"109,000";"BR-040/RJ";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"07/11/2025";"14:10:55";"492";"Sem vítima";"61,000";"BR-040/RJ";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"07/11/2025";"14:41:31";"495";"Sem vítima";"109,000";"BR-040/RJ";"Decrescente";"Engavetamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"07/11/2025";"15:20:15";"500";"Com vítima";"123,000";"BR-040/RJ";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"07/11/2025";"16:36:07";"511";"Sem vítima";"124,000";"BR-040/RJ";"Decrescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"07/11/2025";"16:59:29";"516";"Com vítima";"116,000";"BR-040/RJ";"Decrescente";"Colisão lateral no mesmo sentido";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"07/11/2025";"17:21:17";"519";"Com vítima";"117,000";"BR-040/RJ";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"07/11/2025";"18:30:28";"529";"Com vítima";"124,000";"BR-040/RJ";"Crescente";"Colisão traseira";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
"07/11/2025";"20:20:36";"544";"Com vítima";"105,000";"BR-040/RJ";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"07/11/2025";"21:32:10";"554";"Sem vítima";"123,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"07/11/2025";"21:44:58";"555";"Sem vítima";"101,000";"BR-040/RJ";"Decrescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"08/11/2025";"06:38:20";"605";"Sem vítima";"78,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"06:55:35";"602";"Sem vítima";"90,000";"BR-040/RJ";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"07:48:13";"609";"Com vítima";"825,000";"BR-040/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"08/11/2025";"07:53:00";"614";"Sem vítima";"84,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"08:37:37";"618";"Com vítima";"823,000";"BR-040/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"08/11/2025";"08:50:02";"620";"Sem vítima";"93,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"09:35:19";"643";"Sem vítima";"4,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"09:36:06";"630";"Sem vítima";"74,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"09:57:27";"632";"Sem vítima";"36,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"10:15:21";"635";"Com vítima";"824,000";"BR-040/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"08/11/2025";"10:20:33";"636";"Sem vítima";"804,000";"BR-040/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"10:38:28";"637";"Sem vítima";"78,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"10:45:54";"638";"Com vítima";"77,000";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"08/11/2025";"11:00:19";"639";"Sem vítima";"43,100";"BR-040/RJ";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"12:23:41";"648";"Sem vítima";"43,000";"BR-040/RJ";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"08/11/2025";"12:29:21";"651";"Com vítima";"34,000";"BR-040/RJ";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
"08/11/2025";"12:45:30";"653";"Com vítima";"791,000";"BR-040/MG";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
